,Order ID,Order Date,Country,City,Branch,Lat,Lng,Customer First Name,Customer Last Name,Email,Phone Number,Category,Sub Category,Item,SalesPerson ID,Quantity,Unit Price,Discount,Status
0,1.0,1/1/2023,Syria,Homs,hs01,34.7326,36.7136,Lina,Alrrashid,lina.alrrashid@mail.com,Tel: 5634962795,Tablet,Apple iPad,"  iPad   Pro   12.9"" ",N498,1.0,999.0,39.96,False
1,2.0,1/1/2023,Saudi Arabia,Riyadh,rd01,24.7136,46.6753,Omar,Eurul,omar.eurul@mail.com,Tel: 5311455624,Smartphone,Samsung Galaxy,Galaxy  S21  Ultra  ,X918,1.0,1199.0,119.9,True
2,3.0,1/1/2023,Saudi Arabia,Riyadh,rd03,24.7743,46.7386,Iman,Iismaeil,iman.iismaeil@mail.com,Tel: 5272740777,Digital Camera,Panasonic Lumix,Panasonic Lumix GH5 ,I036,1.0,1299.0,0.0,True
4,4.0,1/1/2023,United Arab Emirates,Abu Dhabi,ad01,24.4539,54.3773,Ahmad,Rihan,ahmad.rihan@mail.com,Tel: 5783343440,Tablet,Samsung Galaxy Tab, Galaxy Tab A8 ,E804,2.0,199.0,27.86,True
5,5.0,1/1/2023,USA,Washington,wh01,38.9072,-77.0369,Sami,Altawil,sami.altawil@mail.com,Tel: 5352774687,Headphones,Sennheiser HD, Sennheiser   HD   450BT  ,Q149,1.0,129.0,3.87,True
6,6.0,1/1/2023,Syria,Aleppo,al01,36.2021,37.1343,Ahed,Salim,ahed.salim@mail.com,Tel: 5277356213,Smartwatch,Garmin Fenix, Garmin   Fenix   6S   ,J431,1.0,499.0,4.99,True
7,7.0,1/1/2023,Saudi Arabia,Riyadh,rd01,24.7136,46.6753,Amira,Alrahil,amira.alrahil@mail.com,Tel: 5653467109,Digital Camera,Panasonic Lumix,Panasonic Lumix S1H,S190,1.0,3499.0,209.94,True
9,8.0,1/1/2023,Egypt,Cairo,cr02,30.0444,31.2357,Muhamad,Bitahish,muhamad.bitahish@mail.com,Tel: 5705221103,Headphones,Anker Soundcore,Anker   Soundcore   Liberty   Air   2   Pro   ,R389,1.0,99.0,0.99,False
10,9.0,1/1/2023,Saudi Arabia,Aseer,as01,18.2311,42.5004,Fadi,Aljabaan,fadi.aljabaan@mail.com,Tel: 5271157029,Laptop,HP Envy,  Envy   x360  ,I974,1.0,899.0,0.0,True
11,10.0,1/1/2023,USA,Washington,wh01,38.9072,-77.0369,Zahir,Almunajid,zahir.almunajid@mail.com,Tel: 5151565826,Smart Speaker,Apple HomePod,Apple  HomePod  mini ,R236,9.0,99.0,71.28,True
12,11.0,1/1/2023,Egypt,Cairo,cr03,30.0444,31.2357,Eala,Aljabaan,eala.aljabaan@mail.com,Tel: 5725081300,Laptop,Lenovo Legion, Lenovo   Legion   5  ,B541,3.0,1099.0,0.0,True
13,12.0,1/1/2023,Egypt,Cairo,cr01,30.0444,31.2357,Abd allatif,Alghandur,abd allatif.alghandur@mail.com,Tel: 5647534056,Tablet,Samsung Galaxy Tab,   Galaxy  Tab  S7,U983,1.0,649.0,64.9,True
14,13.0,1/1/2023,USA,Las Vegas,lv01,36.1699,-115.1398,Muhamad,Eurman,muhamad.eurman@mail.com,Tel: 5011035056,Smartwatch,Fossil Gen,  Fossil Gen 5E  ,N710,1.0,199.0,19.9,True
15,14.0,1/1/2023,Morocco,Casablanca,cs01,33.5731,7.5898,Shahad,Eyd bndqjy,shahad.eyd bndqjy@mail.com,Tel: 5066425618,Smartwatch,Garmin Fenix, Garmin   Fenix   7,G033,1.0,699.0,62.91,True
16,15.0,1/1/2023,Egypt,Asyut,at01,27.1809,31.1837,Sahar,Kharasah,sahar.kharasah@mail.com,Tel: 5074545757,Tablet,Amazon Fire,   Amazon Fire 7 ,G449,1.0,49.0,3.43,True
17,16.0,1/1/2023,United Arab Emirates,Abu Dhabi,ad01,24.4539,54.3773,Muhamad,Zawal,muhamad.zawal@mail.com,Tel: 5080748666,Tablet,Samsung Galaxy Tab,  Galaxy  Tab  A7,T351,1.0,179.0,14.32,True
18,17.0,1/1/2023,France,Paris,ps01,48.8566,2.3522,Muhamad,Zaetar,muhamad.zaetar@mail.com,Tel: 5891898352,Headphones,Sennheiser HD, Sennheiser HD 660S ,S691,13.0,499.0,389.22,True
19,18.0,1/1/2023,Saudi Arabia,Jeddah,jd01,21.5433,39.1728,Muhamad,Byd,muhamad.byd@mail.com,Tel: 5326430239,Tablet,Lenovo Tab,Lenovo Tab M10 FHD Plus   ,D241,1.0,229.0,16.03,True
20,19.0,1/1/2023,Saudi Arabia,Riyadh,rd01,24.7136,46.6753,Fadi,Ahmad,fadi.ahmad@mail.com,Tel: 5923514383,VR Headset,Oculus Rift,Oculus  Rift  S   ,O247,1.0,399.0,7.98,False
21,20.0,1/1/2023,Saudi Arabia,Riyadh,rd02,24.7743,46.7386,Khalid,Dbs,khalid.dbs@mail.com,Tel: 5649954933,Headphones,Anker Soundcore, Anker Soundcore Life Q35  ,R252,3.0,129.0,7.74,False
22,21.0,1/1/2023,Saudi Arabia,Aseer,as01,18.2311,42.5004,Akthum,Haydar,akthum.haydar@mail.com,Tel: 5649217895,Digital Camera,Sony Cyber-shot,Sony  Cyber-shot  RX100  VII   ,S783,1.0,1199.0,47.96,True
23,22.0,1/1/2023,USA,New York,ny03,40.7498,-73.9814,Muhamad,Zaqzuq,muhamad.zaqzuq@mail.com,Tel: 5064468564,Headphones,JBL Live,   JBL Live 500BT ,J345,1.0,99.0,0.0,False
24,23.0,1/1/2023,United Arab Emirates,Abu Dhabi,ad02,24.4764,54.3705,Rwbyna,Salhany,rwbyna.salhany@mail.com,Tel: 5037062257,Headphones,Sony WH, Sony   WH-CH710N   ,H632,1.0,129.0,0.0,True
25,24.0,1/1/2023,USA,New York,ny03,40.7498,-73.9814,Muwmin,Alsaman,muwmin.alsaman@mail.com,Tel: 5114783631,Headphones,Anker Soundcore,Anker Soundcore Liberty Air Pro,Q832,1.0,99.0,5.94,True
26,25.0,1/1/2023,United Arab Emirates,Abu Dhabi,ad01,24.4539,54.3773,Jwny,Alrifaei,jwny.alrifaei@mail.com,Tel: 5073584006,Laptop,Lenovo Legion,Lenovo   Legion   5 ,P653,3.0,1099.0,32.97,True
27,26.0,1/1/2023,Syria,Damascus,ds02,33.5146,36.3084,Ali,Iismaeil,ali.iismaeil@mail.com,Tel: 5835136476,Laptop,Apple MacBook,"   MacBook   Air   13""   ",U470,1.0,999.0,79.92,False
28,27.0,1/1/2023,Egypt,Cairo,cr02,30.0444,31.2357,Husam aldiyn,Allaham,husam aldiyn.allaham@mail.com,Tel: 5345184897,Tablet,Amazon Fire,  Amazon Fire HD 10   ,J431,1.0,149.0,10.43,True
29,28.0,1/1/2023,France,Paris,ps01,48.8566,2.3522,Muhamad,Muayid,muhamad.muayid@mail.com,Tel: 5142624890,Smartphone,OnePlus, OnePlus  10  Pro  ,W336,1.0,999.0,79.92,False
30,29.0,1/1/2023,France,Paris,ps01,48.8566,2.3522,Ali,Kiwan,ali.kiwan@mail.com,Tel: 5122817846,Fitness Tracker,Fitbit Versa,Fitbit Versa 2  ,V236,2.0,179.0,10.74,False
31,30.0,1/1/2023,Saudi Arabia,Aseer,as01,18.2311,42.5004,Emara,Shiah,emara.shiah@mail.com,Tel: 5535880671,Fitness Tracker,Fitbit Versa,  Fitbit  Versa  3 ,X209,2.0,229.0,22.9,False
33,31.0,1/1/2023,USA,New York,ny01,40.7128,-74.006,Muhamad,Shbyb,muhamad.shbyb@mail.com,Tel: 5488892188,Smartphone,Samsung Galaxy,Galaxy S21 Ultra,F510,1.0,1199.0,47.96,False
34,32.0,1/1/2023,United Arab Emirates,Abu Dhabi,ad02,24.4764,54.3705,Majd,Eilwan,majd.eilwan@mail.com,Tel: 5664246524,Headphones,Sennheiser HD,Sennheiser HD 599 SE,Z764,1.0,199.0,11.94,True
35,33.0,1/1/2023,USA,New York,ny03,40.7498,-73.9814,Rahaf,Iybw,rahaf.iybw@mail.com,Tel: 5491607554,Digital Camera,Fujifilm X Series,Fujifilm X-T4,W493,3.0,1699.0,254.85,True
36,34.0,1/1/2023,USA,Washington,wh01,38.9072,-77.0369,Majid,Hishan,majid.hishan@mail.com,Tel: 5616615542,Tablet,Samsung Galaxy Tab S,Galaxy Tab S7+,L106,1.0,849.0,50.94,True
37,35.0,1/1/2023,France,Paris,ps01,48.8566,2.3522,Asra,Abu,asra.abu@mail.com,Tel: 5037538145,Smartwatch,Huawei Watch,Huawei Watch Fit 2 Pro,U646,1.0,129.0,2.58,False
38,36.0,1/1/2023,USA,Las Vegas,lv01,36.1699,-115.1398,Muhamad,Alaleppoy,muhamad.alaleppoy@mail.com,Tel: 5520558869,Headphones,Bose QuietComfort,QC35 II,W242,1.0,299.0,17.94,False
39,37.0,1/1/2023,France,Paris,ps01,48.8566,2.3522,Majdy,Alqadi,majdy.alqadi@mail.com,Tel: 5067401556,Smartphone,Xiaomi Mi,Xiaomi Mi 12,Y270,1.0,799.0,0.0,False
40,38.0,1/1/2023,France,Paris,ps01,48.8566,2.3522,Lama,Hadalah,lama.hadalah@mail.com,Tel: 5129054297,VR Headset,Pimax Vision,Pimax Vision 5K Super Plus,E365,1.0,999.0,99.9,True
41,39.0,1/1/2023,USA,Las Vegas,lv01,36.1699,-115.1398,Omar,Zyny,omar.zyny@mail.com,Tel: 5241250556,Laptop,ASUS ROG,ASUS ROG Strix Scar 17,X358,1.0,1999.0,59.97,True
42,40.0,1/1/2023,Syria,Aleppo,al01,36.2021,37.1343,Husayn,Eubayd,husayn.eubayd@mail.com,Tel: 5715369740,Digital Camera,Sony Alpha,Sony Alpha A6400,K923,8.0,899.0,503.44,True
43,41.0,1/1/2023,USA,New York,ny01,40.7128,-74.006,Khalid,Abu,khalid.abu@mail.com,Tel: 5641023552,Laptop,Apple MacBook,"MacBook Pro 16""",U646,1.0,2399.0,23.99,False
44,42.0,1/1/2023,Saudi Arabia,Jeddah,jd02,21.4858,39.1925,Muhamad,Eurman,muhamad.eurman@mail.com,Tel: 5107468690,Smartwatch,Huawei Watch,Huawei Watch GT 3 Pro,H574,1.0,349.0,24.43,False
